sample	env	subject	bodysite	dataset
Subgingival.plaque__159146620	Subgingival plaque	159146620	Subgingival plaque	HMP
Supragingival.plaque__159146620	Supragingival plaque	159146620	Supragingival plaque	HMP
Tongue.dorsum__159146620	Tongue dorsum	159146620	Tongue dorsum	HMP
Buccal.mucosa__159166850	Buccal mucosa	159166850	Buccal mucosa	HMP
Hard.palate__159166850	Hard palate	159166850	Hard palate	HMP
Saliva__159166850	Saliva	159166850	Saliva	HMP
Stool__159166850	Stool	159166850	Stool	HMP
Subgingival.plaque__159166850	Subgingival plaque	159166850	Subgingival plaque	HMP
Supragingival.plaque__159166850	Supragingival plaque	159166850	Supragingival plaque	HMP
Tongue.dorsum__159166850	Tongue dorsum	159166850	Tongue dorsum	HMP
Buccal.mucosa__159207311	Buccal mucosa	159207311	Buccal mucosa	HMP
Hard.palate__159207311	Hard palate	159207311	Hard palate	HMP
Saliva__159207311	Saliva	159207311	Saliva	HMP
Stool__159207311	Stool	159207311	Stool	HMP
Subgingival.plaque__159207311	Subgingival plaque	159207311	Subgingival plaque	HMP
Supragingival.plaque__159207311	Supragingival plaque	159207311	Supragingival plaque	HMP
Tongue.dorsum__159207311	Tongue dorsum	159207311	Tongue dorsum	HMP
Buccal.mucosa__159227541	Buccal mucosa	159227541	Buccal mucosa	HMP
Hard.palate__159227541	Hard palate	159227541	Hard palate	HMP
Saliva__159227541	Saliva	159227541	Saliva	HMP
Stool__159227541	Stool	159227541	Stool	HMP
Subgingival.plaque__159227541	Subgingival plaque	159227541	Subgingival plaque	HMP
Supragingival.plaque__159227541	Supragingival plaque	159227541	Supragingival plaque	HMP
Tongue.dorsum__159227541	Tongue dorsum	159227541	Tongue dorsum	HMP
Buccal.mucosa__159247771	Buccal mucosa	159247771	Buccal mucosa	HMP
Hard.palate__159247771	Hard palate	159247771	Hard palate	HMP
Saliva__159247771	Saliva	159247771	Saliva	HMP
Stool__159247771	Stool	159247771	Stool	HMP
Subgingival.plaque__159247771	Subgingival plaque	159247771	Subgingival plaque	HMP
Supragingival.plaque__159247771	Supragingival plaque	159247771	Supragingival plaque	HMP
Tongue.dorsum__159247771	Tongue dorsum	159247771	Tongue dorsum	HMP
Buccal.mucosa__159268001	Buccal mucosa	159268001	Buccal mucosa	HMP
Hard.palate__159268001	Hard palate	159268001	Hard palate	HMP
Saliva__159268001	Saliva	159268001	Saliva	HMP
Stool__159268001	Stool	159268001	Stool	HMP
Subgingival.plaque__159268001	Subgingival plaque	159268001	Subgingival plaque	HMP
Supragingival.plaque__159268001	Supragingival plaque	159268001	Supragingival plaque	HMP
Tongue.dorsum__159268001	Tongue dorsum	159268001	Tongue dorsum	HMP
Buccal.mucosa__159288231	Buccal mucosa	159288231	Buccal mucosa	HMP
Hard.palate__159288231	Hard palate	159288231	Hard palate	HMP
Saliva__159288231	Saliva	159288231	Saliva	HMP
Stool__159288231	Stool	159288231	Stool	HMP
Subgingival.plaque__159288231	Subgingival plaque	159288231	Subgingival plaque	HMP
Supragingival.plaque__159288231	Supragingival plaque	159288231	Supragingival plaque	HMP
Tongue.dorsum__159288231	Tongue dorsum	159288231	Tongue dorsum	HMP
Buccal.mucosa__159308461	Buccal mucosa	159308461	Buccal mucosa	HMP
Hard.palate__159308461	Hard palate	159308461	Hard palate	HMP
Saliva__159308461	Saliva	159308461	Saliva	HMP
Stool__159308461	Stool	159308461	Stool	HMP
Subgingival.plaque__159308461	Subgingival plaque	159308461	Subgingival plaque	HMP
Supragingival.plaque__159308461	Supragingival plaque	159308461	Supragingival plaque	HMP
Tongue.dorsum__159308461	Tongue dorsum	159308461	Tongue dorsum	HMP
Buccal.mucosa__159328691	Buccal mucosa	159328691	Buccal mucosa	HMP
Hard.palate__159328691	Hard palate	159328691	Hard palate	HMP
Saliva__159328691	Saliva	159328691	Saliva	HMP
Stool__159328691	Stool	159328691	Stool	HMP
Subgingival.plaque__159328691	Subgingival plaque	159328691	Subgingival plaque	HMP
Supragingival.plaque__159328691	Supragingival plaque	159328691	Supragingival plaque	HMP
Tongue.dorsum__159328691	Tongue dorsum	159328691	Tongue dorsum	HMP
Buccal.mucosa__159369152	Buccal mucosa	159369152	Buccal mucosa	HMP
Hard.palate__159369152	Hard palate	159369152	Hard palate	HMP
Saliva__159369152	Saliva	159369152	Saliva	HMP
Stool__159369152	Stool	159369152	Stool	HMP
Subgingival.plaque__159369152	Subgingival plaque	159369152	Subgingival plaque	HMP
Supragingival.plaque__159369152	Supragingival plaque	159369152	Supragingival plaque	HMP
Tongue.dorsum__159369152	Tongue dorsum	159369152	Tongue dorsum	HMP
Buccal.mucosa__159389382	Buccal mucosa	159389382	Buccal mucosa	HMP
Hard.palate__159389382	Hard palate	159389382	Hard palate	HMP
Saliva__159389382	Saliva	159389382	Saliva	HMP
Stool__159389382	Stool	159389382	Stool	HMP
Subgingival.plaque__159389382	Subgingival plaque	159389382	Subgingival plaque	HMP
Supragingival.plaque__159389382	Supragingival plaque	159389382	Supragingival plaque	HMP
Tongue.dorsum__159389382	Tongue dorsum	159389382	Tongue dorsum	HMP
Buccal.mucosa__159429842	Buccal mucosa	159429842	Buccal mucosa	HMP
Hard.palate__159429842	Hard palate	159429842	Hard palate	HMP
Saliva__159429842	Saliva	159429842	Saliva	HMP
Stool__159429842	Stool	159429842	Stool	HMP
Subgingival.plaque__159429842	Subgingival plaque	159429842	Subgingival plaque	HMP
Supragingival.plaque__159429842	Supragingival plaque	159429842	Supragingival plaque	HMP
Tongue.dorsum__159429842	Tongue dorsum	159429842	Tongue dorsum	HMP
Buccal.mucosa__159450072	Buccal mucosa	159450072	Buccal mucosa	HMP
Hard.palate__159450072	Hard palate	159450072	Hard palate	HMP
Saliva__159450072	Saliva	159450072	Saliva	HMP
Stool__159450072	Stool	159450072	Stool	HMP
Subgingival.plaque__159450072	Subgingival plaque	159450072	Subgingival plaque	HMP
Supragingival.plaque__159450072	Supragingival plaque	159450072	Supragingival plaque	HMP
Tongue.dorsum__159450072	Tongue dorsum	159450072	Tongue dorsum	HMP
Buccal.mucosa__159470302	Buccal mucosa	159470302	Buccal mucosa	HMP
Hard.palate__159470302	Hard palate	159470302	Hard palate	HMP
Saliva__159470302	Saliva	159470302	Saliva	HMP
Stool__159470302	Stool	159470302	Stool	HMP
Subgingival.plaque__159470302	Subgingival plaque	159470302	Subgingival plaque	HMP
Supragingival.plaque__159470302	Supragingival plaque	159470302	Supragingival plaque	HMP
Tongue.dorsum__159470302	Tongue dorsum	159470302	Tongue dorsum	HMP
Buccal.mucosa__159490532	Buccal mucosa	159490532	Buccal mucosa	HMP
Hard.palate__159490532	Hard palate	159490532	Hard palate	HMP
Saliva__159490532	Saliva	159490532	Saliva	HMP
Stool__159490532	Stool	159490532	Stool	HMP
Subgingival.plaque__159490532	Subgingival plaque	159490532	Subgingival plaque	HMP
Supragingival.plaque__159490532	Supragingival plaque	159490532	Supragingival plaque	HMP
Tongue.dorsum__159490532	Tongue dorsum	159490532	Tongue dorsum	HMP
Buccal.mucosa__159510762	Buccal mucosa	159510762	Buccal mucosa	HMP
Hard.palate__159510762	Hard palate	159510762	Hard palate	HMP
Saliva__159510762	Saliva	159510762	Saliva	HMP
Stool__159510762	Stool	159510762	Stool	HMP
Subgingival.plaque__159510762	Subgingival plaque	159510762	Subgingival plaque	HMP
Supragingival.plaque__159510762	Supragingival plaque	159510762	Supragingival plaque	HMP
Tongue.dorsum__159510762	Tongue dorsum	159510762	Tongue dorsum	HMP
Buccal.mucosa__159551223	Buccal mucosa	159551223	Buccal mucosa	HMP
Hard.palate__159551223	Hard palate	159551223	Hard palate	HMP
Saliva__159551223	Saliva	159551223	Saliva	HMP
Stool__159551223	Stool	159551223	Stool	HMP
Subgingival.plaque__159551223	Subgingival plaque	159551223	Subgingival plaque	HMP
Supragingival.plaque__159551223	Supragingival plaque	159551223	Supragingival plaque	HMP
Tongue.dorsum__159551223	Tongue dorsum	159551223	Tongue dorsum	HMP
Buccal.mucosa__159571453	Buccal mucosa	159571453	Buccal mucosa	HMP
Hard.palate__159571453	Hard palate	159571453	Hard palate	HMP
Saliva__159571453	Saliva	159571453	Saliva	HMP
Stool__159571453	Stool	159571453	Stool	HMP
Subgingival.plaque__159571453	Subgingival plaque	159571453	Subgingival plaque	HMP
Supragingival.plaque__159571453	Supragingival plaque	159571453	Supragingival plaque	HMP
Tongue.dorsum__159571453	Tongue dorsum	159571453	Tongue dorsum	HMP
Buccal.mucosa__159591683	Buccal mucosa	159591683	Buccal mucosa	HMP
Hard.palate__159591683	Hard palate	159591683	Hard palate	HMP
Saliva__159591683	Saliva	159591683	Saliva	HMP
Stool__159591683	Stool	159591683	Stool	HMP
Subgingival.plaque__159591683	Subgingival plaque	159591683	Subgingival plaque	HMP
Supragingival.plaque__159591683	Supragingival plaque	159591683	Supragingival plaque	HMP
Tongue.dorsum__159591683	Tongue dorsum	159591683	Tongue dorsum	HMP
Buccal.mucosa__159611913	Buccal mucosa	159611913	Buccal mucosa	HMP
Hard.palate__159611913	Hard palate	159611913	Hard palate	HMP
Saliva__159611913	Saliva	159611913	Saliva	HMP
Stool__159611913	Stool	159611913	Stool	HMP
Subgingival.plaque__159611913	Subgingival plaque	159611913	Subgingival plaque	HMP
Supragingival.plaque__159611913	Supragingival plaque	159611913	Supragingival plaque	HMP
Tongue.dorsum__159611913	Tongue dorsum	159611913	Tongue dorsum	HMP
Buccal.mucosa__159632143	Buccal mucosa	159632143	Buccal mucosa	HMP
Hard.palate__159632143	Hard palate	159632143	Hard palate	HMP
Saliva__159632143	Saliva	159632143	Saliva	HMP
Stool__159632143	Stool	159632143	Stool	HMP
Subgingival.plaque__159632143	Subgingival plaque	159632143	Subgingival plaque	HMP
Supragingival.plaque__159632143	Supragingival plaque	159632143	Supragingival plaque	HMP
Tongue.dorsum__159632143	Tongue dorsum	159632143	Tongue dorsum	HMP
Buccal.mucosa__159672603	Buccal mucosa	159672603	Buccal mucosa	HMP
Hard.palate__159672603	Hard palate	159672603	Hard palate	HMP
Saliva__159672603	Saliva	159672603	Saliva	HMP
Subgingival.plaque__159672603	Subgingival plaque	159672603	Subgingival plaque	HMP
Supragingival.plaque__159672603	Supragingival plaque	159672603	Supragingival plaque	HMP
Tongue.dorsum__159672603	Tongue dorsum	159672603	Tongue dorsum	HMP
Buccal.mucosa__159713063	Buccal mucosa	159713063	Buccal mucosa	HMP
Hard.palate__159713063	Hard palate	159713063	Hard palate	HMP
Saliva__159713063	Saliva	159713063	Saliva	HMP
Stool__159713063	Stool	159713063	Stool	HMP
Subgingival.plaque__159713063	Subgingival plaque	159713063	Subgingival plaque	HMP
Supragingival.plaque__159713063	Supragingival plaque	159713063	Supragingival plaque	HMP
Tongue.dorsum__159713063	Tongue dorsum	159713063	Tongue dorsum	HMP
Buccal.mucosa__159733294	Buccal mucosa	159733294	Buccal mucosa	HMP
Hard.palate__159733294	Hard palate	159733294	Hard palate	HMP
Saliva__159733294	Saliva	159733294	Saliva	HMP
Stool__159733294	Stool	159733294	Stool	HMP
Subgingival.plaque__159733294	Subgingival plaque	159733294	Subgingival plaque	HMP
Supragingival.plaque__159733294	Supragingival plaque	159733294	Supragingival plaque	HMP
Tongue.dorsum__159733294	Tongue dorsum	159733294	Tongue dorsum	HMP
Buccal.mucosa__159753524	Buccal mucosa	159753524	Buccal mucosa	HMP
Hard.palate__159753524	Hard palate	159753524	Hard palate	HMP
Saliva__159753524	Saliva	159753524	Saliva	HMP
Stool__159753524	Stool	159753524	Stool	HMP
Subgingival.plaque__159753524	Subgingival plaque	159753524	Subgingival plaque	HMP
Supragingival.plaque__159753524	Supragingival plaque	159753524	Supragingival plaque	HMP
Tongue.dorsum__159753524	Tongue dorsum	159753524	Tongue dorsum	HMP
Buccal.mucosa__159814214	Buccal mucosa	159814214	Buccal mucosa	HMP
Hard.palate__159814214	Hard palate	159814214	Hard palate	HMP
Saliva__159814214	Saliva	159814214	Saliva	HMP
Stool__159814214	Stool	159814214	Stool	HMP
Subgingival.plaque__159814214	Subgingival plaque	159814214	Subgingival plaque	HMP
Supragingival.plaque__159814214	Supragingival plaque	159814214	Supragingival plaque	HMP
Tongue.dorsum__159814214	Tongue dorsum	159814214	Tongue dorsum	HMP
Buccal.mucosa__159915365	Buccal mucosa	159915365	Buccal mucosa	HMP
Hard.palate__159915365	Hard palate	159915365	Hard palate	HMP
Saliva__159915365	Saliva	159915365	Saliva	HMP
Stool__159915365	Stool	159915365	Stool	HMP
Subgingival.plaque__159915365	Subgingival plaque	159915365	Subgingival plaque	HMP
Supragingival.plaque__159915365	Supragingival plaque	159915365	Supragingival plaque	HMP
Tongue.dorsum__159915365	Tongue dorsum	159915365	Tongue dorsum	HMP
Buccal.mucosa__160016515	Buccal mucosa	160016515	Buccal mucosa	HMP
Hard.palate__160016515	Hard palate	160016515	Hard palate	HMP
Saliva__160016515	Saliva	160016515	Saliva	HMP
Stool__160016515	Stool	160016515	Stool	HMP
Subgingival.plaque__160016515	Subgingival plaque	160016515	Subgingival plaque	HMP
Supragingival.plaque__160016515	Supragingival plaque	160016515	Supragingival plaque	HMP
Tongue.dorsum__160016515	Tongue dorsum	160016515	Tongue dorsum	HMP
Buccal.mucosa__160036745	Buccal mucosa	160036745	Buccal mucosa	HMP
Hard.palate__160036745	Hard palate	160036745	Hard palate	HMP
Saliva__160036745	Saliva	160036745	Saliva	HMP
Stool__160036745	Stool	160036745	Stool	HMP
Subgingival.plaque__160036745	Subgingival plaque	160036745	Subgingival plaque	HMP
Supragingival.plaque__160036745	Supragingival plaque	160036745	Supragingival plaque	HMP
Tongue.dorsum__160036745	Tongue dorsum	160036745	Tongue dorsum	HMP
Buccal.mucosa__160056975	Buccal mucosa	160056975	Buccal mucosa	HMP
Hard.palate__160056975	Hard palate	160056975	Hard palate	HMP
Saliva__160056975	Saliva	160056975	Saliva	HMP
Stool__160056975	Stool	160056975	Stool	HMP
Subgingival.plaque__160056975	Subgingival plaque	160056975	Subgingival plaque	HMP
Supragingival.plaque__160056975	Supragingival plaque	160056975	Supragingival plaque	HMP
Tongue.dorsum__160056975	Tongue dorsum	160056975	Tongue dorsum	HMP
Buccal.mucosa__160097436	Buccal mucosa	160097436	Buccal mucosa	HMP
Hard.palate__160097436	Hard palate	160097436	Hard palate	HMP
