sampleid	env	subject	bodysite	dataset
Stool__158216035	Stool	158216035	Stool	HMP
Subgingival.plaque__158216035	Subgingival plaque	158216035	Subgingival plaque	HMP
Supragingival.plaque__158216035	Supragingival plaque	158216035	Supragingival plaque	HMP
Throat__158216035	Throat	158216035	Throat	HMP
Tongue.dorsum__158216035	Tongue dorsum	158216035	Tongue dorsum	HMP
Anterior.nares__158236265	Anterior nares	158236265	Anterior nares	HMP
Attached.Keratinized.gingiva__158236265	Attached/Keratinized gingiva	158236265	Attached/Keratinized gingiva	HMP
Buccal.mucosa__158236265	Buccal mucosa	158236265	Buccal mucosa	HMP
Hard.palate__158236265	Hard palate	158236265	Hard palate	HMP
L_Antecubital.fossa__158236265	L_Antecubital fossa	158236265	L_Antecubital fossa	HMP
Mid.vagina__158236265	Mid vagina	158236265	Mid vagina	HMP
Palatine.Tonsils__158236265	Palatine Tonsils	158236265	Palatine Tonsils	HMP
Posterior.fornix__158236265	Posterior fornix	158236265	Posterior fornix	HMP
R_Antecubital.fossa__158236265	R_Antecubital fossa	158236265	R_Antecubital fossa	HMP
Retroauricular.crease__158236265	Retroauricular crease	158236265	Retroauricular crease	HMP
Saliva__158236265	Saliva	158236265	Saliva	HMP
Stool__158236265	Stool	158236265	Stool	HMP
Subgingival.plaque__158236265	Subgingival plaque	158236265	Subgingival plaque	HMP
Supragingival.plaque__158236265	Supragingival plaque	158236265	Supragingival plaque	HMP
Throat__158236265	Throat	158236265	Throat	HMP
Tongue.dorsum__158236265	Tongue dorsum	158236265	Tongue dorsum	HMP
Vaginal.introitus__158236265	Vaginal introitus	158236265	Vaginal introitus	HMP
Anterior.nares__158256496	Anterior nares	158256496	Anterior nares	HMP
Attached.Keratinized.gingiva__158256496	Attached/Keratinized gingiva	158256496	Attached/Keratinized gingiva	HMP
Buccal.mucosa__158256496	Buccal mucosa	158256496	Buccal mucosa	HMP
Hard.palate__158256496	Hard palate	158256496	Hard palate	HMP
L_Antecubital.fossa__158256496	L_Antecubital fossa	158256496	L_Antecubital fossa	HMP
Mid.vagina__158256496	Mid vagina	158256496	Mid vagina	HMP
Palatine.Tonsils__158256496	Palatine Tonsils	158256496	Palatine Tonsils	HMP
Posterior.fornix__158256496	Posterior fornix	158256496	Posterior fornix	HMP
Retroauricular.crease__158256496	Retroauricular crease	158256496	Retroauricular crease	HMP
Saliva__158256496	Saliva	158256496	Saliva	HMP
Stool__158256496	Stool	158256496	Stool	HMP
Subgingival.plaque__158256496	Subgingival plaque	158256496	Subgingival plaque	HMP
Supragingival.plaque__158256496	Supragingival plaque	158256496	Supragingival plaque	HMP
Throat__158256496	Throat	158256496	Throat	HMP
Tongue.dorsum__158256496	Tongue dorsum	158256496	Tongue dorsum	HMP
Vaginal.introitus__158256496	Vaginal introitus	158256496	Vaginal introitus	HMP
Anterior.nares__158276726	Anterior nares	158276726	Anterior nares	HMP
Attached.Keratinized.gingiva__158276726	Attached/Keratinized gingiva	158276726	Attached/Keratinized gingiva	HMP
Buccal.mucosa__158276726	Buccal mucosa	158276726	Buccal mucosa	HMP
Hard.palate__158276726	Hard palate	158276726	Hard palate	HMP
L_Antecubital.fossa__158276726	L_Antecubital fossa	158276726	L_Antecubital fossa	HMP
Mid.vagina__158276726	Mid vagina	158276726	Mid vagina	HMP
Palatine.Tonsils__158276726	Palatine Tonsils	158276726	Palatine Tonsils	HMP
Posterior.fornix__158276726	Posterior fornix	158276726	Posterior fornix	HMP
R_Antecubital.fossa__158276726	R_Antecubital fossa	158276726	R_Antecubital fossa	HMP
Retroauricular.crease__158276726	Retroauricular crease	158276726	Retroauricular crease	HMP
Saliva__158276726	Saliva	158276726	Saliva	HMP
Stool__158276726	Stool	158276726	Stool	HMP
Subgingival.plaque__158276726	Subgingival plaque	158276726	Subgingival plaque	HMP
Supragingival.plaque__158276726	Supragingival plaque	158276726	Supragingival plaque	HMP
Throat__158276726	Throat	158276726	Throat	HMP
Tongue.dorsum__158276726	Tongue dorsum	158276726	Tongue dorsum	HMP
Vaginal.introitus__158276726	Vaginal introitus	158276726	Vaginal introitus	HMP
Anterior.nares__158337416	Anterior nares	158337416	Anterior nares	HMP
Attached.Keratinized.gingiva__158337416	Attached/Keratinized gingiva	158337416	Attached/Keratinized gingiva	HMP
Buccal.mucosa__158337416	Buccal mucosa	158337416	Buccal mucosa	HMP
Hard.palate__158337416	Hard palate	158337416	Hard palate	HMP
L_Antecubital.fossa__158337416	L_Antecubital fossa	158337416	L_Antecubital fossa	HMP
Mid.vagina__158337416	Mid vagina	158337416	Mid vagina	HMP
Palatine.Tonsils__158337416	Palatine Tonsils	158337416	Palatine Tonsils	HMP
Posterior.fornix__158337416	Posterior fornix	158337416	Posterior fornix	HMP
R_Antecubital.fossa__158337416	R_Antecubital fossa	158337416	R_Antecubital fossa	HMP
Retroauricular.crease__158337416	Retroauricular crease	158337416	Retroauricular crease	HMP
Saliva__158337416	Saliva	158337416	Saliva	HMP
Stool__158337416	Stool	158337416	Stool	HMP
Subgingival.plaque__158337416	Subgingival plaque	158337416	Subgingival plaque	HMP
Supragingival.plaque__158337416	Supragingival plaque	158337416	Supragingival plaque	HMP
Throat__158337416	Throat	158337416	Throat	HMP
Tongue.dorsum__158337416	Tongue dorsum	158337416	Tongue dorsum	HMP
Vaginal.introitus__158337416	Vaginal introitus	158337416	Vaginal introitus	HMP
Anterior.nares__158357646	Anterior nares	158357646	Anterior nares	HMP
Attached.Keratinized.gingiva__158357646	Attached/Keratinized gingiva	158357646	Attached/Keratinized gingiva	HMP
Buccal.mucosa__158357646	Buccal mucosa	158357646	Buccal mucosa	HMP
Hard.palate__158357646	Hard palate	158357646	Hard palate	HMP
Palatine.Tonsils__158357646	Palatine Tonsils	158357646	Palatine Tonsils	HMP
Retroauricular.crease__158357646	Retroauricular crease	158357646	Retroauricular crease	HMP
Saliva__158357646	Saliva	158357646	Saliva	HMP
Stool__158357646	Stool	158357646	Stool	HMP
Subgingival.plaque__158357646	Subgingival plaque	158357646	Subgingival plaque	HMP
Supragingival.plaque__158357646	Supragingival plaque	158357646	Supragingival plaque	HMP
Throat__158357646	Throat	158357646	Throat	HMP
Tongue.dorsum__158357646	Tongue dorsum	158357646	Tongue dorsum	HMP
Anterior.nares__158398106	Anterior nares	158398106	Anterior nares	HMP
Attached.Keratinized.gingiva__158398106	Attached/Keratinized gingiva	158398106	Attached/Keratinized gingiva	HMP
Buccal.mucosa__158398106	Buccal mucosa	158398106	Buccal mucosa	HMP
Hard.palate__158398106	Hard palate	158398106	Hard palate	HMP
L_Antecubital.fossa__158398106	L_Antecubital fossa	158398106	L_Antecubital fossa	HMP
Palatine.Tonsils__158398106	Palatine Tonsils	158398106	Palatine Tonsils	HMP
R_Antecubital.fossa__158398106	R_Antecubital fossa	158398106	R_Antecubital fossa	HMP
Retroauricular.crease__158398106	Retroauricular crease	158398106	Retroauricular crease	HMP
Saliva__158398106	Saliva	158398106	Saliva	HMP
Stool__158398106	Stool	158398106	Stool	HMP
Subgingival.plaque__158398106	Subgingival plaque	158398106	Subgingival plaque	HMP
Supragingival.plaque__158398106	Supragingival plaque	158398106	Supragingival plaque	HMP
Throat__158398106	Throat	158398106	Throat	HMP
Tongue.dorsum__158398106	Tongue dorsum	158398106	Tongue dorsum	HMP
Anterior.nares__158418336	Anterior nares	158418336	Anterior nares	HMP
Attached.Keratinized.gingiva__158418336	Attached/Keratinized gingiva	158418336	Attached/Keratinized gingiva	HMP
Buccal.mucosa__158418336	Buccal mucosa	158418336	Buccal mucosa	HMP
Hard.palate__158418336	Hard palate	158418336	Hard palate	HMP
L_Antecubital.fossa__158418336	L_Antecubital fossa	158418336	L_Antecubital fossa	HMP
Palatine.Tonsils__158418336	Palatine Tonsils	158418336	Palatine Tonsils	HMP
R_Antecubital.fossa__158418336	R_Antecubital fossa	158418336	R_Antecubital fossa	HMP
Retroauricular.crease__158418336	Retroauricular crease	158418336	Retroauricular crease	HMP
Saliva__158418336	Saliva	158418336	Saliva	HMP
Stool__158418336	Stool	158418336	Stool	HMP
Subgingival.plaque__158418336	Subgingival plaque	158418336	Subgingival plaque	HMP
Supragingival.plaque__158418336	Supragingival plaque	158418336	Supragingival plaque	HMP
Throat__158418336	Throat	158418336	Throat	HMP
Tongue.dorsum__158418336	Tongue dorsum	158418336	Tongue dorsum	HMP
Anterior.nares__158438567	Anterior nares	158438567	Anterior nares	HMP
Attached.Keratinized.gingiva__158438567	Attached/Keratinized gingiva	158438567	Attached/Keratinized gingiva	HMP
Buccal.mucosa__158438567	Buccal mucosa	158438567	Buccal mucosa	HMP
Hard.palate__158438567	Hard palate	158438567	Hard palate	HMP
L_Antecubital.fossa__158438567	L_Antecubital fossa	158438567	L_Antecubital fossa	HMP
Palatine.Tonsils__158438567	Palatine Tonsils	158438567	Palatine Tonsils	HMP
R_Antecubital.fossa__158438567	R_Antecubital fossa	158438567	R_Antecubital fossa	HMP
Retroauricular.crease__158438567	Retroauricular crease	158438567	Retroauricular crease	HMP
Saliva__158438567	Saliva	158438567	Saliva	HMP
Stool__158438567	Stool	158438567	Stool	HMP
Subgingival.plaque__158438567	Subgingival plaque	158438567	Subgingival plaque	HMP
Supragingival.plaque__158438567	Supragingival plaque	158438567	Supragingival plaque	HMP
Throat__158438567	Throat	158438567	Throat	HMP
Tongue.dorsum__158438567	Tongue dorsum	158438567	Tongue dorsum	HMP
Anterior.nares__158458797	Anterior nares	158458797	Anterior nares	HMP
Attached.Keratinized.gingiva__158458797	Attached/Keratinized gingiva	158458797	Attached/Keratinized gingiva	HMP
Buccal.mucosa__158458797	Buccal mucosa	158458797	Buccal mucosa	HMP
Hard.palate__158458797	Hard palate	158458797	Hard palate	HMP
L_Antecubital.fossa__158458797	L_Antecubital fossa	158458797	L_Antecubital fossa	HMP
Mid.vagina__158458797	Mid vagina	158458797	Mid vagina	HMP
Palatine.Tonsils__158458797	Palatine Tonsils	158458797	Palatine Tonsils	HMP
Posterior.fornix__158458797	Posterior fornix	158458797	Posterior fornix	HMP
R_Antecubital.fossa__158458797	R_Antecubital fossa	158458797	R_Antecubital fossa	HMP
Retroauricular.crease__158458797	Retroauricular crease	158458797	Retroauricular crease	HMP
Saliva__158458797	Saliva	158458797	Saliva	HMP
Stool__158458797	Stool	158458797	Stool	HMP
Subgingival.plaque__158458797	Subgingival plaque	158458797	Subgingival plaque	HMP
Supragingival.plaque__158458797	Supragingival plaque	158458797	Supragingival plaque	HMP
Throat__158458797	Throat	158458797	Throat	HMP
Tongue.dorsum__158458797	Tongue dorsum	158458797	Tongue dorsum	HMP
Vaginal.introitus__158458797	Vaginal introitus	158458797	Vaginal introitus	HMP
Anterior.nares__158479027	Anterior nares	158479027	Anterior nares	HMP
Attached.Keratinized.gingiva__158479027	Attached/Keratinized gingiva	158479027	Attached/Keratinized gingiva	HMP
Buccal.mucosa__158479027	Buccal mucosa	158479027	Buccal mucosa	HMP
Hard.palate__158479027	Hard palate	158479027	Hard palate	HMP
L_Antecubital.fossa__158479027	L_Antecubital fossa	158479027	L_Antecubital fossa	HMP
Palatine.Tonsils__158479027	Palatine Tonsils	158479027	Palatine Tonsils	HMP
Retroauricular.crease__158479027	Retroauricular crease	158479027	Retroauricular crease	HMP
Saliva__158479027	Saliva	158479027	Saliva	HMP
Stool__158479027	Stool	158479027	Stool	HMP
Subgingival.plaque__158479027	Subgingival plaque	158479027	Subgingival plaque	HMP
Supragingival.plaque__158479027	Supragingival plaque	158479027	Supragingival plaque	HMP
Throat__158479027	Throat	158479027	Throat	HMP
Tongue.dorsum__158479027	Tongue dorsum	158479027	Tongue dorsum	HMP
Anterior.nares__158499257	Anterior nares	158499257	Anterior nares	HMP
Attached.Keratinized.gingiva__158499257	Attached/Keratinized gingiva	158499257	Attached/Keratinized gingiva	HMP
Buccal.mucosa__158499257	Buccal mucosa	158499257	Buccal mucosa	HMP
Hard.palate__158499257	Hard palate	158499257	Hard palate	HMP
L_Antecubital.fossa__158499257	L_Antecubital fossa	158499257	L_Antecubital fossa	HMP
Palatine.Tonsils__158499257	Palatine Tonsils	158499257	Palatine Tonsils	HMP
R_Antecubital.fossa__158499257	R_Antecubital fossa	158499257	R_Antecubital fossa	HMP
Retroauricular.crease__158499257	Retroauricular crease	158499257	Retroauricular crease	HMP
Saliva__158499257	Saliva	158499257	Saliva	HMP
Stool__158499257	Stool	158499257	Stool	HMP
Subgingival.plaque__158499257	Subgingival plaque	158499257	Subgingival plaque	HMP
Supragingival.plaque__158499257	Supragingival plaque	158499257	Supragingival plaque	HMP
Throat__158499257	Throat	158499257	Throat	HMP
Tongue.dorsum__158499257	Tongue dorsum	158499257	Tongue dorsum	HMP
Anterior.nares__158721788	Anterior nares	158721788	Anterior nares	HMP
Attached.Keratinized.gingiva__158721788	Attached/Keratinized gingiva	158721788	Attached/Keratinized gingiva	HMP
Buccal.mucosa__158721788	Buccal mucosa	158721788	Buccal mucosa	HMP
Hard.palate__158721788	Hard palate	158721788	Hard palate	HMP
L_Antecubital.fossa__158721788	L_Antecubital fossa	158721788	L_Antecubital fossa	HMP
R_Antecubital.fossa__158721788	R_Antecubital fossa	158721788	R_Antecubital fossa	HMP
Retroauricular.crease__158721788	Retroauricular crease	158721788	Retroauricular crease	HMP
Saliva__158721788	Saliva	158721788	Saliva	HMP
Stool__158721788	Stool	158721788	Stool	HMP
Subgingival.plaque__158721788	Subgingival plaque	158721788	Subgingival plaque	HMP
Supragingival.plaque__158721788	Supragingival plaque	158721788	Supragingival plaque	HMP
Throat__158721788	Throat	158721788	Throat	HMP
Tongue.dorsum__158721788	Tongue dorsum	158721788	Tongue dorsum	HMP
Anterior.nares__158742018	Anterior nares	158742018	Anterior nares	HMP
Attached.Keratinized.gingiva__158742018	Attached/Keratinized gingiva	158742018	Attached/Keratinized gingiva	HMP
Buccal.mucosa__158742018	Buccal mucosa	158742018	Buccal mucosa	HMP
Hard.palate__158742018	Hard palate	158742018	Hard palate	HMP
L_Antecubital.fossa__158742018	L_Antecubital fossa	158742018	L_Antecubital fossa	HMP
Mid.vagina__158742018	Mid vagina	158742018	Mid vagina	HMP
Palatine.Tonsils__158742018	Palatine Tonsils	158742018	Palatine Tonsils	HMP
Posterior.fornix__158742018	Posterior fornix	158742018	Posterior fornix	HMP
R_Antecubital.fossa__158742018	R_Antecubital fossa	158742018	R_Antecubital fossa	HMP
Retroauricular.crease__158742018	Retroauricular crease	158742018	Retroauricular crease	HMP
Saliva__158742018	Saliva	158742018	Saliva	HMP
Stool__158742018	Stool	158742018	Stool	HMP
Subgingival.plaque__158742018	Subgingival plaque	158742018	Subgingival plaque	HMP
Supragingival.plaque__158742018	Supragingival plaque	158742018	Supragingival plaque	HMP
Throat__158742018	Throat	158742018	Throat	HMP
Tongue.dorsum__158742018	Tongue dorsum	158742018	Tongue dorsum	HMP
Vaginal.introitus__158742018	Vaginal introitus	158742018	Vaginal introitus	HMP
Anterior.nares__158802708	Anterior nares	158802708	Anterior nares	HMP
Attached.Keratinized.gingiva__158802708	Attached/Keratinized gingiva	158802708	Attached/Keratinized gingiva	HMP
Buccal.mucosa__158802708	Buccal mucosa	158802708	Buccal mucosa	HMP
Hard.palate__158802708	Hard palate	158802708	Hard palate	HMP
L_Antecubital.fossa__158802708	L_Antecubital fossa	158802708	L_Antecubital fossa	HMP
Palatine.Tonsils__158802708	Palatine Tonsils	158802708	Palatine Tonsils	HMP
R_Antecubital.fossa__158802708	R_Antecubital fossa	158802708	R_Antecubital fossa	HMP
Retroauricular.crease__158802708	Retroauricular crease	158802708	Retroauricular crease	HMP
Saliva__158802708	Saliva	158802708	Saliva	HMP
Stool__158802708	Stool	158802708	Stool	HMP
Subgingival.plaque__158802708	Subgingival plaque	158802708	Subgingival plaque	HMP
Supragingival.plaque__158802708	Supragingival plaque	158802708	Supragingival plaque	HMP
Throat__158802708	Throat	158802708	Throat	HMP
Tongue.dorsum__158802708	Tongue dorsum	158802708	Tongue dorsum	HMP
Anterior.nares__158822939	Anterior nares	158822939	Anterior nares	HMP
Attached.Keratinized.gingiva__158822939	Attached/Keratinized gingiva	158822939	Attached/Keratinized gingiva	HMP
Buccal.mucosa__158822939	Buccal mucosa	158822939	Buccal mucosa	HMP
Hard.palate__158822939	Hard palate	158822939	Hard palate	HMP
L_Antecubital.fossa__158822939	L_Antecubital fossa	158822939	L_Antecubital fossa	HMP
Palatine.Tonsils__158822939	Palatine Tonsils	158822939	Palatine Tonsils	HMP
R_Antecubital.fossa__158822939	R_Antecubital fossa	158822939	R_Antecubital fossa	HMP
Retroauricular.crease__158822939	Retroauricular crease	158822939	Retroauricular crease	HMP
Saliva__158822939	Saliva	158822939	Saliva	HMP
Stool__158822939	Stool	158822939	Stool	HMP
Subgingival.plaque__158822939	Subgingival plaque	158822939	Subgingival plaque	HMP
Supragingival.plaque__158822939	Supragingival plaque	158822939	Supragingival plaque	HMP
Tongue.dorsum__158822939	Tongue dorsum	158822939	Tongue dorsum	HMP
Anterior.nares__158883629	Anterior nares	158883629	Anterior nares	HMP
Attached.Keratinized.gingiva__158883629	Attached/Keratinized gingiva	158883629	Attached/Keratinized gingiva	HMP
Buccal.mucosa__158883629	Buccal mucosa	158883629	Buccal mucosa	HMP
Hard.palate__158883629	Hard palate	158883629	Hard palate	HMP
L_Antecubital.fossa__158883629	L_Antecubital fossa	158883629	L_Antecubital fossa	HMP
Mid.vagina__158883629	Mid vagina	158883629	Mid vagina	HMP
Palatine.Tonsils__158883629	Palatine Tonsils	158883629	Palatine Tonsils	HMP
Posterior.fornix__158883629	Posterior fornix	158883629	Posterior fornix	HMP
R_Antecubital.fossa__158883629	R_Antecubital fossa	158883629	R_Antecubital fossa	HMP
Retroauricular.crease__158883629	Retroauricular crease	158883629	Retroauricular crease	HMP
Saliva__158883629	Saliva	158883629	Saliva	HMP
Stool__158883629	Stool	158883629	Stool	HMP
Subgingival.plaque__158883629	Subgingival plaque	158883629	Subgingival plaque	HMP
Supragingival.plaque__158883629	Supragingival plaque	158883629	Supragingival plaque	HMP
Throat__158883629	Throat	158883629	Throat	HMP
Tongue.dorsum__158883629	Tongue dorsum	158883629	Tongue dorsum	HMP
Vaginal.introitus__158883629	Vaginal introitus	158883629	Vaginal introitus	HMP
Anterior.nares__158924089	Anterior nares	158924089	Anterior nares	HMP
Attached.Keratinized.gingiva__158924089	Attached/Keratinized gingiva	158924089	Attached/Keratinized gingiva	HMP
Buccal.mucosa__158924089	Buccal mucosa	158924089	Buccal mucosa	HMP
Hard.palate__158924089	Hard palate	158924089	Hard palate	HMP
L_Antecubital.fossa__158924089	L_Antecubital fossa	158924089	L_Antecubital fossa	HMP
Palatine.Tonsils__158924089	Palatine Tonsils	158924089	Palatine Tonsils	HMP
R_Antecubital.fossa__158924089	R_Antecubital fossa	158924089	R_Antecubital fossa	HMP
Retroauricular.crease__158924089	Retroauricular crease	158924089	Retroauricular crease	HMP
Saliva__158924089	Saliva	158924089	Saliva	HMP
Stool__158924089	Stool	158924089	Stool	HMP
Subgingival.plaque__158924089	Subgingival plaque	158924089	Subgingival plaque	HMP
Supragingival.plaque__158924089	Supragingival plaque	158924089	Supragingival plaque	HMP
Throat__158924089	Throat	158924089	Throat	HMP
Tongue.dorsum__158924089	Tongue dorsum	158924089	Tongue dorsum	HMP
Anterior.nares__158944319	Anterior nares	158944319	Anterior nares	HMP
Attached.Keratinized.gingiva__158944319	Attached/Keratinized gingiva	158944319	Attached/Keratinized gingiva	HMP
Buccal.mucosa__158944319	Buccal mucosa	158944319	Buccal mucosa	HMP
Hard.palate__158944319	Hard palate	158944319	Hard palate	HMP
L_Antecubital.fossa__158944319	L_Antecubital fossa	158944319	L_Antecubital fossa	HMP
Mid.vagina__158944319	Mid vagina	158944319	Mid vagina	HMP
Palatine.Tonsils__158944319	Palatine Tonsils	158944319	Palatine Tonsils	HMP
Posterior.fornix__158944319	Posterior fornix	158944319	Posterior fornix	HMP
R_Antecubital.fossa__158944319	R_Antecubital fossa	158944319	R_Antecubital fossa	HMP
Retroauricular.crease__158944319	Retroauricular crease	158944319	Retroauricular crease	HMP
Saliva__158944319	Saliva	158944319	Saliva	HMP
Stool__158944319	Stool	158944319	Stool	HMP
Subgingival.plaque__158944319	Subgingival plaque	158944319	Subgingival plaque	HMP
Supragingival.plaque__158944319	Supragingival plaque	158944319	Supragingival plaque	HMP
Throat__158944319	Throat	158944319	Throat	HMP
Tongue.dorsum__158944319	Tongue dorsum	158944319	Tongue dorsum	HMP
Vaginal.introitus__158944319	Vaginal introitus	158944319	Vaginal introitus	HMP
Anterior.nares__158964549	Anterior nares	158964549	Anterior nares	HMP
Attached.Keratinized.gingiva__158964549	Attached/Keratinized gingiva	158964549	Attached/Keratinized gingiva	HMP
Buccal.mucosa__158964549	Buccal mucosa	158964549	Buccal mucosa	HMP
Hard.palate__158964549	Hard palate	158964549	Hard palate	HMP
L_Antecubital.fossa__158964549	L_Antecubital fossa	158964549	L_Antecubital fossa	HMP
Palatine.Tonsils__158964549	Palatine Tonsils	158964549	Palatine Tonsils	HMP
R_Antecubital.fossa__158964549	R_Antecubital fossa	158964549	R_Antecubital fossa	HMP
Retroauricular.crease__158964549	Retroauricular crease	158964549	Retroauricular crease	HMP
Saliva__158964549	Saliva	158964549	Saliva	HMP
Stool__158964549	Stool	158964549	Stool	HMP
Subgingival.plaque__158964549	Subgingival plaque	158964549	Subgingival plaque	HMP
Supragingival.plaque__158964549	Supragingival plaque	158964549	Supragingival plaque	HMP
