"","Phylum","Gene_significance","Subsystem_level","Subsystem","q_value","Enrichment_odds_ratio"
"132","proteobacteria","med","level2","Type III, Type IV, Type VI, ESAT secretion systems",7.30715555242099e-08,8.63764997820303
"133","proteobacteria","med","level3","Type_4_conjugative_transfer_system,_IncI1_type",2.60323818398763e-32,90.0035362973876
"134","proteobacteria","med","level3","Tetrathionate_respiration",0.137426862210157,26.1466076255189
"135","proteobacteria","med","level3","Type_4_secretion_and_conjugative_transfer",3.92674246975894e-07,8.63764997820303
"136","actinobacteria","weak","level1","Phages, Prophages, Transposable elements",0.00762294034941215,71.8680659065289
"137","actinobacteria","weak","level1","Potassium metabolism",0.206673379414734,3.42315022037165
"138","actinobacteria","weak","level1","Virulence, Disease and Defense",0.0517000139642335,2.52333578122202
"139","actinobacteria","weak","level1","Membrane Transport",0.144966599191757,1.90258330476494
"140","actinobacteria","weak","level1","Carbohydrates",0.0228811791496604,1.73516886034497
"141","actinobacteria","weak","level1","Cell Wall and Capsule",0.23179613415635,1.70999518187282
"142","actinobacteria","weak","level2","Bacteriophage structural proteins",0.0135942436231183,71.8680659065289
"143","actinobacteria","weak","level2","Di- and oligosaccharides",3.22047183136253e-06,5.35604892377071
"144","actinobacteria","weak","level2","Monosaccharides",0.175975874205549,2.10662077125643
"145","actinobacteria","weak","level3","Phage_capsid_proteins",0.0487021188990221,71.8680659065289
"146","actinobacteria","weak","level3","D-Tagatose_and_Galactitol_Utilization",0.142199922912731,12.0802554030632
"147","actinobacteria","weak","level3","Lactose_and_Galactose_Uptake_and_Utilization",0.00127878770518215,10.1685706725335
"148","actinobacteria","weak","level3","Beta-Glucoside_Metabolism",0.142199922912731,7.58837189140085
"149","actinobacteria","weak","level3","ECF_class_transporters",0.0479372580243927,5.30335163535467
"150","bacteroidetes","weak","level1","Phages, Prophages, Transposable elements, Plasmids",0.00110070227718316,3.95947215552181
"151","bacteroidetes","weak","level1","Cell Wall and Capsule",5.64318899491247e-06,2.63159478234013
"152","bacteroidetes","weak","level2","Sugar Phosphotransferase Systems, PTS",0.217034637049229,Inf
"153","bacteroidetes","weak","level2","ATP synthases",0.00100987510348706,13.7908301919404
"154","bacteroidetes","weak","level2","Phages, Prophages",0.0738907427283027,12.1169185758596
"155","bacteroidetes","weak","level2","Sodium Ion-Coupled Energetics",0.210927880440714,6.05647287356283
"156","bacteroidetes","weak","level2","Transposable elements",0.0251277229601933,4.37322546134485
"157","bacteroidetes","weak","level2","Gram-Positive cell wall components",0.173605068993105,4.05052025912935
"158","bacteroidetes","weak","level2","Gram-Negative cell wall components",0.00477114236033556,3.50754073551513
"159","bacteroidetes","weak","level2","Capsular and extracellular polysacchrides",0.00477114236033556,2.64192483838778
"160","bacteroidetes","weak","level3","V-Type_ATP_synthase",0.000659256059939556,Inf
"161","bacteroidetes","weak","level3","LOS_core_oligosaccharide_biosynthesis",0.0434828467226941,6.13042678883015
"162","bacteroidetes","weak","level3","Conjugative_transposon,_Bacteroidales",0.048388434897288,5.57131378990947
"163","delta.epsilon.subdivisions","weak","level1","Phages, Prophages, Transposable elements",0.00461207100114818,40.6081417154114
"164","delta.epsilon.subdivisions","weak","level1","Sulfur Metabolism",6.45044969603983e-05,5.24071914691768
"165","delta.epsilon.subdivisions","weak","level1","Virulence",0.00637542281017222,3.65638092573689
"166","delta.epsilon.subdivisions","weak","level1","Phosphorus Metabolism",0.00637542281017222,3.34712009231131
"167","delta.epsilon.subdivisions","weak","level1","Respiration",0.00959933576382278,1.78256600464002
"168","delta.epsilon.subdivisions","weak","level2","Bacteriophage structural proteins",0.0164497199040952,40.6081417154114
"169","delta.epsilon.subdivisions","weak","level2","Type III secretion system, extended",2.02961743319927e-05,23.1971785215667
"170","delta.epsilon.subdivisions","weak","level2","Organic sulfur assimilation",0.0445084401645781,6.11714596385857
"171","delta.epsilon.subdivisions","weak","level2","Type III, Type IV, Type VI, ESAT secretion systems",0.0331492791841076,3.65638092573689
"172","delta.epsilon.subdivisions","weak","level2","Electron donating reactions",0.0445084401645781,2.23396497375007
"173","delta.epsilon.subdivisions","weak","level3","Pyrrolysine",0.0530171521052912,Inf
"174","delta.epsilon.subdivisions","weak","level3","Energy-conserving_hydrogenase_(ferredoxin)",0.00473397646437818,50.8498923825515
"175","delta.epsilon.subdivisions","weak","level3","Sulfate_reduction-associated_complexes",0.00473397646437818,50.8498923825515
"176","delta.epsilon.subdivisions","weak","level3","Phage_capsid_proteins",0.0252565792920019,40.6081417154114
"177","delta.epsilon.subdivisions","weak","level3","L-fucose_utilization_temp",0.12171448631437,30.3208254103796
"178","delta.epsilon.subdivisions","weak","level3","Alkanesulfonates_Utilization",0.12171448631437,30.3208254103796
"179","delta.epsilon.subdivisions","weak","level3","Alkylphosphonate_utilization",0.000154967209793538,27.3960083634977
"180","delta.epsilon.subdivisions","weak","level3","Type_III_secretion_systems,_extended",0.000109068226550428,23.1971785215667
"181","delta.epsilon.subdivisions","weak","level3","Na(+)-translocating_NADH-quinone_oxidoreductase_and_rnf-like_group_of_electron_transport_complexes",0.0252565792920019,10.204333012433
"182","delta.epsilon.subdivisions","weak","level3","D-gluconate_and_ketogluconates_metabolism",0.0183041012244121,8.95462313222031
"183","delta.epsilon.subdivisions","weak","level3","Carbon_monoxide_induced_hydrogenase",0.100784384244909,6.11714596385857
"184","delta.epsilon.subdivisions","weak","level3","Ethanolamine_utilization",0.100784384244909,5.10915603858569
"185","delta.epsilon.subdivisions","weak","level3","Type_4_secretion_and_conjugative_transfer",0.0593795499403796,3.65638092573689
"186","firmicutes","weak","level1","Phages, Prophages, Transposable elements",0.211750024076747,6.64450440281122
"187","firmicutes","weak","level1","Dormancy and Sporulation",3.82844562884701e-11,6.40934119841863
"188","firmicutes","weak","level1","Phosphorus Metabolism",0.00739594460099694,4.14238159170301
"189","firmicutes","weak","level1","Sulfur Metabolism",0.209135172500742,2.3470923592632
"190","firmicutes","weak","level1","Cofactors, Vitamins, Prosthetic Groups, Pigments",0.211750024076747,1.51510756681117
"191","firmicutes","weak","level2","Coenzyme A",0.176159595210188,6.68611854698224
"192","firmicutes","weak","level2","Folate and pterines",0.152707418101643,3.13643341062225
"193","firmicutes","weak","level2","",0.00192532364285405,1.76850487436101
"194","firmicutes","weak","level3","Sporulation_Cluster_III_A",4.16049401988249e-06,45.1791257760258
"195","firmicutes","weak","level3","Sporulation_gene_orphans",1.36132424011354e-20,25.5911514142349
"196","firmicutes","weak","level3","High_affinity_phosphate_transporter_and_control_of_PHO_regulon",0.00108482233572877,25.2565372963119
"197","firmicutes","weak","level3","Transport_of_Molybdenum",0.0260166339032108,22.3118928601896
"198","firmicutes","weak","level3","Streptococcus_pneumoniae_Vancomycin_Tolerance_Locus",0.185828754243092,16.6657593222503
"199","firmicutes","weak","level3","Cysteine_Biosynthesis",0.00730510872200173,9.85283190133848
"200","firmicutes","weak","level3","Molybdenum_cofactor_biosynthesis",0.0122145155402649,8.44345948323256
"201","firmicutes","weak","level3","Phosphate_metabolism",0.0129685645317913,5.6561373961336
"202","firmicutes","weak","level3","Bacterial_Cell_Division",0.182314464521,5.04192023056591
"203","firmicutes","weak","level3","Anaerobic_respiratory_reductases",0.0952620633315701,4.3594861469322
"204","fusobacteria","weak","level1","Potassium metabolism",0.112492708216617,9.42984759193963
"205","fusobacteria","weak","level1","Iron acquisition and metabolism",0.00561908437313148,7.27808757139481
"206","fusobacteria","weak","level1","Carbohydrates",0.125769536073198,2.03738196364251
"207","fusobacteria","weak","level2","Siderophores",0.195488365702162,55.509744198555
"208","fusobacteria","weak","level2","Di- and oligosaccharides",0.069504897738969,4.46214563043397
"209","fusobacteria","weak","level3","Heme,_hemin_uptake_and_utilization_systems_in_GramPositives",0.0108598295616436,24.4155431574432
"210","proteobacteria","weak","level1","Phages, Prophages, Transposable elements",0.244665921901104,7.85050865623028
"211","proteobacteria","weak","level1","Virulence",5.32792431823711e-07,6.70302245000882
"212","proteobacteria","weak","level1","Membrane Transport",1.13624314869631e-11,4.482423176948
"213","proteobacteria","weak","level2","Protein and nucleoprotein secretion system, Type IV",2.5975430176037e-18,12.4057142072369
"214","proteobacteria","weak","level2","Type III, Type IV, Type VI, ESAT secretion systems",1.9002930068379e-06,6.70302245000882
"215","proteobacteria","weak","level3","Type_4_conjugative_transfer_system,_IncI1_type",3.75210598217065e-33,87.6611906042366
"216","proteobacteria","weak","level3","ABC_transporter_of_unknown_substrate_X",0.019573690236954,82.5359939749544
"217","proteobacteria","weak","level3","Transport_of_Manganese",0.0182648298651439,27.740694822779
"218","proteobacteria","weak","level3","HMG_CoA_Synthesis",0.019573690236954,22.1957388947248
"219","proteobacteria","weak","level3","Tetrathionate_respiration",0.12553861048119,20.7035841850812
"220","proteobacteria","weak","level3","Transport_of_Iron",0.12553861048119,10.0868797123414
"221","proteobacteria","weak","level3","Type_4_secretion_and_conjugative_transfer",1.02118549432878e-05,6.70302245000882
